Bx,By,Bmagnetic,CoreLoss
2.19653e-07,-5.36277e-10,2.19654e-07,1.70582e-13
2.19729e-07,-5.09429e-10,2.1973e-07,1.707e-13
2.19788e-07,-4.88312e-10,2.19788e-07,1.70791e-13
2.19835e-07,-4.74091e-10,2.19835e-07,1.70863e-13
2.19875e-07,-4.66987e-10,2.19875e-07,1.70926e-13
2.19911e-07,-4.66987e-10,2.19912e-07,1.70983e-13
2.19948e-07,-4.74091e-10,2.19949e-07,1.7104e-13
2.19988e-07,-4.88312e-10,2.19989e-07,1.71103e-13
2.20035e-07,-5.09429e-10,2.20036e-07,1.71176e-13
2.20094e-07,-5.36277e-10,2.20094e-07,1.71266e-13
2.2017e-07,-5.65027e-10,2.2017e-07,1.71385e-13
2.20271e-07,-5.85299e-10,2.20272e-07,1.71543e-13
2.20405e-07,-5.72346e-10,2.20406e-07,1.71752e-13
2.20573e-07,-4.75351e-10,2.20573e-07,1.72013e-13
2.20747e-07,-2.17426e-10,2.20747e-07,1.72284e-13
2.20846e-07,-1.18738e-10,2.20846e-07,1.72438e-13
1.55711e-07,-4.9304e-10,1.55711e-07,8.57227e-14
1.55986e-07,-8.10596e-10,1.55988e-07,8.60279e-14
1.56322e-07,-8.23688e-10,1.56324e-07,8.63982e-14
1.56573e-07,-7.52816e-10,1.56575e-07,8.66758e-14
1.5674e-07,-6.74928e-10,1.56742e-07,8.6861e-14
1.5685e-07,-6.10415e-10,1.56851e-07,8.69825e-14
1.56924e-07,-5.62062e-10,1.56925e-07,8.70646e-14
1.56977e-07,-5.28269e-10,1.56978e-07,8.71229e-14
1.57017e-07,-5.06988e-10,1.57018e-07,8.71672e-14
1.5705e-07,-4.96723e-10,1.57051e-07,8.72036e-14
1.5708e-07,-4.96723e-10,1.5708e-07,8.72367e-14
1.57109e-07,-5.06988e-10,1.5711e-07,8.72697e-14
1.57142e-07,-5.28269e-10,1.57143e-07,8.73064e-14
1.57182e-07,-5.62062e-10,1.57183e-07,8.73509e-14
1.57235e-07,-6.10415e-10,1.57236e-07,8.74096e-14
1.57309e-07,-6.74928e-10,1.5731e-07,8.74924e-14
1.57419e-07,-7.52816e-10,1.57421e-07,8.7615e-14
1.57586e-07,-8.23688e-10,1.57589e-07,8.7802e-14
1.57838e-07,-8.10596e-10,1.5784e-07,8.80822e-14
1.58173e-07,-4.9304e-10,1.58174e-07,8.84553e-14
1.58449e-07,-2.17426e-10,1.58449e-07,8.87632e-14
9.18927e-08,-1.43718e-09,9.1904e-08,2.98623e-14
9.28369e-08,-1.45031e-09,9.28482e-08,3.04791e-14
9.34766e-08,-1.159e-09,9.34837e-08,3.08978e-14
9.38119e-08,-9.27347e-10,9.38165e-08,3.11181e-14
9.39864e-08,-7.71456e-10,9.39896e-08,3.1233e-14
9.40829e-08,-6.68395e-10,9.40853e-08,3.12967e-14
9.41409e-08,-6.00133e-10,9.41428e-08,3.1335e-14
9.4179e-08,-5.55716e-10,9.41806e-08,3.13601e-14
9.42064e-08,-5.2887e-10,9.42079e-08,3.13783e-14
9.42283e-08,-5.16194e-10,9.42297e-08,3.13929e-14
9.42478e-08,-5.16194e-10,9.42492e-08,3.14058e-14
9.42673e-08,-5.2887e-10,9.42687e-08,3.14189e-14
9.42891e-08,-5.55716e-10,9.42908e-08,3.14335e-14
9.43166e-08,-6.00133e-10,9.43185e-08,3.1452e-14
9.43546e-08,-6.68395e-10,9.4357e-08,3.14777e-14
9.44126e-08,-7.71456e-10,9.44158e-08,3.1517e-14
9.45092e-08,-9.27347e-10,9.45137e-08,3.15824e-14
9.46837e-08,-1.159e-09,9.46908e-08,3.17008e-14
9.5019e-08,-1.45031e-09,9.50301e-08,3.19284e-14
9.56587e-08,-1.43718e-09,9.56695e-08,3.23595e-14
9.66028e-08,-4.9304e-10,9.66041e-08,3.29948e-14
2.61865e-08,-5.24255e-09,2.67061e-08,2.5216e-15
2.99919e-08,-2.39445e-09,3.00873e-08,3.20053e-15
3.0936e-08,-1.43464e-09,3.09693e-08,3.39092e-15
3.12117e-08,-1.02612e-09,3.12285e-08,3.44793e-15
3.13104e-08,-8.15152e-10,3.13211e-08,3.46839e-15
3.13541e-08,-6.91575e-10,3.13618e-08,3.47741e-15
3.13773e-08,-6.14358e-10,3.13833e-08,3.4822e-15
3.13915e-08,-5.65593e-10,3.13966e-08,3.48515e-15
3.14014e-08,-5.3658e-10,3.1406e-08,3.48723e-15
3.14091e-08,-5.2299e-10,3.14135e-08,3.48889e-15
3.14159e-08,-5.2299e-10,3.14203e-08,3.4904e-15
3.14227e-08,-5.3658e-10,3.14273e-08,3.49196e-15
3.14304e-08,-5.65593e-10,3.14355e-08,3.49379e-15
3.14403e-08,-6.14358e-10,3.14463e-08,3.49619e-15
3.14545e-08,-6.91575e-10,3.14621e-08,3.4997e-15
3.14777e-08,-8.15152e-10,3.14883e-08,3.50552e-15
3.15214e-08,-1.02612e-09,3.15381e-08,3.51663e-15
3.16202e-08,-1.43464e-09,3.16527e-08,3.54223e-15
3.18958e-08,-2.39445e-09,3.19856e-08,3.61713e-15
3.284e-08,-5.24255e-09,3.32558e-08,3.91012e-15
3.66453e-08,-1.43718e-09,3.66735e-08,4.75511e-15
